277 ADAMTSL4 118
278 NDN 116
279 NOP9 115
280 SNF8 114
281 MTMR4 113
282 POLR3K 113
283 MGRN1 112
284 SUCLG1 112
285 TIMM9 111
286 BUD31 111
287 DHX33 110
288 PITRM1 110
289 E2F3 109
290 BNIP1 109
291 CBFA2T2 108
292 RNF14 105
293 ARL1 105
294 SCMH1 103
295 ANKFY1 103
296 SUPT4H1 103
297 AKT2 102
298 RBM23 101
299 NT5C2 99
300 RAD54L2 96
301 ELP6 93
302 FBXO22 91
303 RNF6 90
304 KIAA1217 87
305 SSU72 86
306 GTF2IRD1 85
307 ARFIP1 85
308 NDUFA11 84
309 POLR3G 83
310 RAB4A 83
311 NSMCE1 83
312 SFMBT1 82
313 MRPL33 82
314 PSMG4 80
315 ATG5 79
316 BLOC1S2 79
317 NDUFC2 77
318 SCAF4 77
319 RPS19BP1 77
320 STXBP6 74
321 ATP5E 72
322 DIP2B 69
323 COX7A2 69
324 MLF1 69
325 NDUFAB1 68
326 TIMM8B 68
327 SCML2 67
328 BLVRA 67
329 RBM48 67
330 GSTO1 67
331 CNNM3 67
332 FRYL 66
333 GRHPR 66
334 DCUN1D4 65
335 EZH1 63
336 LSM1 62
337 KCTD1 61
338 DCUN1D5 61
339 HMGXB4 59
340 GDA 59
341 ARL8B 59
342 SLAIN1 59
343 RASSF3 59
344 KCNMA1 59
345 SFXN4 59
346 SEC31B 58
347 SKAP2 57
348 MPLKIP 57
349 NDUFAF7 56
350 KLHDC2 56
351 ATG3 55
352 MFF 55
353 PTS 53
354 ATP2C1 52
355 LMO3 52
356 DUSP3 52
357 WDR19 52
358 PFKFB2 51
359 PAAF1 49
360 FAM210A 49
361 GCNT2 48
362 UQCC2 48
363 BOLA1 48
364 ACTR3B 46
365 SYNPO2 46
366 DNAJC19 46
367 ALDH2 45
368 UBE2F 45
369 CCDC50 44
370 IQUB 44
371 PAIP2 43
372 SLIT2 43
373 NQO2 42
374 SEC11A 42
375 PSPH 42
376 TMEM11 41
377 TOMM7 41
378 COX17 39
379 RHOD 39
380 TENM3 39
381 DAK 38
382 BOLA3 38
383 HSBP1 38
384 TRIAP1 37
385 JADE2 35
386 LAMTOR2 35
387 TMEM9 35
388 BEX2 35
389 AGPAT6 35
390 S100A16 35
391 MSL3 34
392 PDCD2 34
393 ACOT13 34
394 METTL9 34
395 ARFGAP2 33
396 SUN1 33
397 LSM10 33
398 ERLEC1 32
399 COL4A5 32
400 GLRX 31
401 PHF2 31
402 ZNF521 31
403 MTSS1 30
404 ROR1 30
405 FAM162A 29
406 PARP16 29
407 FAM188A 29
408 CNNM4 29
409 MRPL36 29
410 BZRAP1 28
411 GPC4 28
412 CREM 28
413 GSTZ1 28
414 TXNDC17 28
415 UBR3 28
416 DPCD 28
417 NUDCD2 28
418 FEZ2 28
419 CASP4 28
420 CTSL 27
421 BICD1 27
422 GAREM 26
423 TOR3A 26
424 NDUFB2 25
425 DAD1 25
426 SERF2 25
427 CELSR2 25
428 COA6 25
429 TMEM9B 25
430 ADA 25
431 FKBP7 24
432 CDK5RAP3 24
433 DENND5A 24
434 TECPR2 24
435 HN1 23
436 CMC2 22
437 PDLIM4 22
438 UBL5 22
439 SZRD1 21
440 MPV17 21
441 PRMT7 21
442 BCL6B 21
443 INPP5B 20
444 R3HDM1 19
445 ALG13 19
446 TMEM59 19
447 ID1 19
448 ALKBH3 19
449 CRADD 19
450 SLC7A2 18
451 LEPR 18
452 GRIA2 18
453 CYP1B1 18
454 GULP1 18
455 SMIM12 18
456 ZNF32 18
457 SFXN5 17
458 PCYT1A 17
459 TRUB1 17
460 AKIRIN1 17
461 ATOX1 17
462 MEST 16
463 ATG12 16
464 MYLK4 16
465 FAM171A1 16
466 PCDH9 16
467 ZNF211 15
468 ZNF398 15
469 TMEM14C 14
470 ITIH5 14
471 CD63 14
472 GOLGA7 14
473 MMADHC 14
474 MSRB3 14
475 RMDN1 14
476 DCLRE1A 14
477 STX2 13
478 TMTC4 13
479 MDFIC 13
480 PAM 13
481 ATP5G3 13
482 PDE6D 13
483 CCDC28B 13
484 ZFYVE1 13
485 ZNF202 13
486 SEC11C 13
487 SNAPC5 13
488 EXD3 13
489 TSPAN6 12
490 OPN3 12
491 DPH5 12
492 SERPINF1 12
493 ACSS1 12
494 ZNF142 11
495 FAM126A 11
496 MYH8 11
497 PMM2 11
498 RNF165 11
499 HNMT 11
500 LRRC28 11
501 EFNA1 11
502 TSEN15 11
503 NCBP2-AS2 11
504 FBXO42 10
505 SMUG1 10
506 CABLES2 10
507 NRROS 10
508 NEUROG1 10
509 RNFT1 10
510 COL4A6 10
511 OSTC 10
512 IL32 9
513 ITM2A 9
514 MGST2 9
515 NCOA7 9
516 TUSC2 9
517 BOD1 9
518 TMEM55A 9
519 BNC2 9
520 FAM118B 9
521 ANKRD39 9
522 ELK3 8
523 PPIC 8
524 KBTBD2 8
525 IL20RB 8
526 GRAMD1C 8
527 PLAG1 8
528 APOO 8
529 IGF1 7
530 ITGA8 7
531 KLHDC4 7
532 COA1 7
533 FAM189A2 7
